seqIndex,netCharge,FC,LW,DP,NK,AE,pcMK,_SolventAccessibilityD1025,tau2_GRAR740104,tau4_GRAR740104,QSO50_GRAR740104,QSO29_GRAR740104
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.273,10662.6666667,3895.71428571,0.0,0.062674
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,13997.6,6246.75,0.0,0.075719
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,13307.9090909,5638.33333333,0.0,0.075133
4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5606.16666667,1741.5,0.0,0.0
5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091,10663.5555556,8823.71428571,0.0,0.045725
6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7449.9,5856.5,0.0,0.074754
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,13258.9,2492.25,0.0,0.081307
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,13457.0,2884.25,0.0,0.082089
9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692,8908.36363636,9982.77777778,0.0,0.045463
10,3.0,0.0,0.0,0.0,0.0,0.0,0.5,7.692,17216.5454545,20796.3333333,0.0,0.046753
11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692,6889.72727273,7587.22222222,0.0,0.06229
12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14853.1818182,5601.66666667,0.0,0.080096
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14173.6363636,5829.66666667,0.0,0.074376
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14664.1818182,5489.88888889,0.0,0.072836
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,12229.1818182,4025.33333333,0.0,0.067365
16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14683.0909091,5884.0,0.0,0.081776
17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,15845.9090909,2724.66666667,0.0,0.065294
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14324.3636364,5293.66666667,0.0,0.057618
19,3.0,0.0,0.0,0.0,0.0,0.0,0.25,23.077,10860.7272727,13419.5555556,0.0,0.043474
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,13449.5454545,4227.22222222,0.0,0.064892
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,13359.0909091,4173.44444444,0.0,0.064335
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,13184.2727273,3283.66666667,0.0,0.068588
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,12502.6363636,4320.44444444,0.0,0.072913
24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,12958.2727273,5014.33333333,0.0,0.09146
25,1.0,0.0,0.0,0.0,0.0,0.0,0.5,15.385,15440.9090909,5497.11111111,0.0,0.100694
26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,16948.1818182,9133.88888889,0.0,0.070999
27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,13416.9090909,7021.33333333,0.0,0.07263
28,3.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,20.69,14697.0,8924.88,0.0,0.052036
29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,9451.58333333,5428.1,0.0,0.070649
30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,11702.0,6103.3,0.0,0.049875
31,3.0,0.0,0.0,0.0,0.0,0.0,0.25,21.429,9955.66666667,13044.4,0.0,0.066503
32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,9756.66666667,6774.9,0.0,0.078154
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,12190.5,10758.4,0.0,0.056968
34,3.0,0.0,0.0,0.0,0.0,0.0,0.25,21.429,7294.33333333,9929.4,0.0,0.066514
35,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,10899.5,8139.6,0.0,0.072354
36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.667,13140.1538462,13666.8181818,0.0,0.069438
37,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8550.76923077,10668.9090909,0.0,0.071692
38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,12643.2857143,5316.41666667,0.0,0.069682
39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14222.5,7972.66666667,0.0,0.096469
40,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,13174.7857143,7555.33333333,0.0,0.0729
