seqIndex,netCharge,FC,LW,DP,NK,AE,pcMK,_SolventAccessibilityD1025,tau2_GRAR740104,tau4_GRAR740104,QSO50_GRAR740104,QSO29_GRAR740104
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,10747.6666667,8589.75,0.0,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9976.375,7268.66666667,0.0,0.051519
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13710.125,5625.0,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.273,10662.6666667,3895.71428571,0.0,0.062674
5,2.0,0.0,0.0,0.0,0.0,0.0,0.5,63.636,8466.11111111,7449.57142857,0.0,0.03779
6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.182,12688.8888889,7305.14285714,0.0,0.057022
7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,8281.6,9849.75,0.0,0.062209
8,4.0,0.0,0.0,0.0,0.0,0.0,0.25,8.333,14731.9,4409.625,0.0,0.064161
9,3.0,0.0,0.0,0.0,0.0,0.0,0.5,8.333,16210.4,4973.125,0.0,0.041429
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,13457.0,2884.25,0.0,0.082089
11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333,11514.2,6922.5,0.0,0.038903
12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692,12754.9090909,3172.11111111,0.0,0.099481
13,1.0,0.0,8.33,0.0,0.0,0.0,0.0,15.385,15426.4545455,5655.77777778,0.0,0.066192
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14115.0909091,3339.77777778,0.0,0.076735
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,13307.9090909,5638.33333333,0.0,0.075133
16,1.0,0.0,0.0,0.0,0.0,0.0,0.5,15.385,15440.9090909,5497.11111111,0.0,0.100694
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,18622.4545455,4443.0,0.0,0.090996
18,1.0,0.0,8.33,0.0,0.0,0.0,0.0,15.385,16636.1818182,6080.22222222,0.0,0.07067
19,3.0,0.0,0.0,0.0,0.0,0.0,0.5,7.692,17216.5454545,20796.3333333,0.0,0.046753
